date,open,close,high,low,volume,money
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-02-02,3510.81,3533.68,3535.5,3495.57,26454063000.0,384127851092.3
2021-02-03,3531.15,3517.31,3544.01,3508.51,29735171600.0,413731471970.7
2021-02-04,3503.78,3501.86,3524.72,3465.77,29883485400.0,418742552801.5
2021-02-05,3509.49,3496.33,3536.54,3492.96,29014617400.0,397391919558.5
2021-02-08,3504.56,3532.45,3542.21,3492.13,24979961900.0,359187319179.3
2021-02-09,3539.77,3603.49,3604.01,3528.68,25382176000.0,371567972460.7
2021-02-10,3612.61,3655.09,3662.77,3612.5,25794082400.0,392643389630.2
2021-02-18,3721.09,3675.36,3731.69,3663.66,34030906500.0,483546564601.1
2021-02-19,3661.78,3696.17,3699.65,3634.01,36105980400.0,484990205753.6
2021-02-22,3707.19,3642.44,3717.27,3642.44,48882147800.0,599323102080.9
2021-02-23,3617.7,3636.36,3672.15,3617.7,39887317400.0,479631810240.2
2021-02-24,3638.94,3564.08,3645.65,3531.59,36215895200.0,484430414619.7
2021-02-25,3595.54,3585.05,3608.56,3568.47,36623229900.0,444735017112.4
2021-02-26,3514.56,3509.08,3550.41,3500.7,33328006700.0,424485913919.4
2021-03-01,3531.48,3551.4,3552.57,3511.99,31548752600.0,402477044217.4
